步骤 	 符号栈 	 产生式 
123 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(46,=) 	 
124 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
125 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(29,<ID>) 	 
126 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> 
127 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
128 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(38,Exp)(62,;) 	 
129 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(37,Stmt) 	 Stmt->Exp ; 
130 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(37,Stmt)(61,StmtList) 	 StmtList->@ 
131 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(136,StmtList) 	 StmtList->Stmt StmtList 
132 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(136,StmtList)(138,}) 	 
133 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(134,Block) 	 Block->Block_m { DefList StmtList } 
134 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(127,IfNext) 	 IfNext->IfStmt_next else Block 
135 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(39,IfStmt) 	 IfStmt->if IfStmt_m1 ( Exp ) IfStmt_m2 Block IfNext 
136 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt) 	 Stmt->IfStmt 
137 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while) 	 
138 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1) 	 WhileStmt_m1->@ 
139 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,() 	 
140 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(52,<ID>) 	 
141 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp) 	 Exp-><ID> 
142 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(70,<=) 	 
143 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop) 	 Relop-><= 
144 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop)(53,<INT>) 	 
145 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop)(99,Exp) 	 Exp-><INT> 
146 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp) 	 Exp->Exp Relop Exp 
147 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,)) 	 
148 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2) 	 WhileStmt_m2->@ 
149 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m) 	 Block_m->@ 
150 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{) 	 
151 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList) 	 DefList->@ 
152 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>) 	 
153 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(46,=) 	 
154 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
155 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,() 	 
156 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(52,<ID>) 	 
157 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp) 	 Exp-><ID> 
158 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(65,*) 	 
159 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop) 	 Aritop->* 
160 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(53,<INT>) 	 
161 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(98,Exp) 	 Exp-><INT> 
162 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp) 	 Exp->Exp Aritop Exp 
163 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(81,)) 	 
164 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp->( Exp ) 
165 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
166 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(38,Exp)(62,;) 	 
167 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(37,Stmt) 	 Stmt->Exp ; 
168 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(37,Stmt)(61,StmtList) 	 StmtList->@ 
169 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(136,StmtList) 	 StmtList->Stmt StmtList 
170 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(136,StmtList)(138,}) 	 
171 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(124,Block) 	 Block->Block_m { DefList StmtList } 
172 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(40,WhileStmt) 	 WhileStmt->while WhileStmt_m1 ( Exp ) WhileStmt_m2 Block 
173 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->WhileStmt 
174 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(33,return) 	 
175 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(29,<ID>) 	 
176 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(57,Exp) 	 Exp-><ID> 
177 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(57,Exp)(84,;) 	 
178 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->return Exp ; 
179 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->@ 
180 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
181 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
182 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
183 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList) 	 StmtList->Stmt StmtList 
184 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList)(60,}) 	 
185 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block) 	 Block->Block_m { DefList StmtList } 
186 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block)(16,ExitFunTable_m) 	 ExitFunTable_m->@ 
187 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier FunDec Block ExitFunTable_m 
188 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(2,int) 	 
189 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier) 	 Specifier->int 
190 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
191 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m) 	 CreateFunTable_m->@ 
192 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,() 	 
193 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(2,int) 	 
194 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier) 	 Specifier->int 
195 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier)(24,<ID>) 	 
196 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec) 	 ParamDec->Specifier <ID> 
197 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(19,VarList) 	 VarList->ParamDec 
198 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(19,VarList)(25,)) 	 
199 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec) 	 FunDec-><ID> CreateFunTable_m ( VarList ) 
200 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m) 	 Block_m->@ 
201 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{) 	 
202 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList) 	 DefList->@ 
203 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>) 	 
204 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(46,=) 	 
205 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
206 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop)(29,<ID>) 	 
207 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> 
208 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
209 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(63,+) 	 
210 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop) 	 Aritop->+ 
211 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop)(30,<INT>) 	 
212 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop)(87,Exp) 	 Exp-><INT> 
213 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp) 	 Exp->Exp Aritop Exp 
214 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(62,;) 	 
215 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt) 	 Stmt->Exp ; 
216 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return) 	 
217 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(29,<ID>) 	 
218 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp) 	 Exp-><ID> 
219 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp)(65,*) 	 
220 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp)(73,Aritop) 	 Aritop->* 
221 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp)(73,Aritop)(30,<INT>) 	 
222 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp)(73,Aritop)(87,Exp) 	 Exp-><INT> 
223 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp) 	 Exp->Exp Aritop Exp 
224 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(33,return)(57,Exp)(84,;) 	 
225 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt) 	 Stmt->return Exp ; 
226 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->@ 
227 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
228 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList) 	 StmtList->Stmt StmtList 
229 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList)(60,}) 	 
230 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block) 	 Block->Block_m { DefList StmtList } 
231 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block)(16,ExitFunTable_m) 	 ExitFunTable_m->@ 
232 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier FunDec Block ExitFunTable_m 
233 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(2,int) 	 
234 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier) 	 Specifier->int 
235 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
236 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m) 	 CreateFunTable_m->@ 
237 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,() 	 
238 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(19,VarList) 	 VarList->@ 
239 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(19,VarList)(25,)) 	 
